NOC,Year,Medals,Country,GDP,Population
URS,1960,211,Russia,,119897000
URS,1964,221,Russia,,125345000
URS,1968,229,Russia,,128928000
URS,1972,259,Russia,,131909000
URS,1976,342,Russia,,135147000
URS,1980,496,Russia,,139010000
URS,1984,56,Russia,,142745000
URS,1988,366,Russia,,146857000
EUN,1992,279,Russia,1.15E+12,148689000
RUS,1996,151,Russia,8.47E+11,148160042
RUS,2000,239,Russia,9.52E+11,146596557
RUS,2004,227,Russia,1.20E+12,144067054
RUS,2008,183,Russia,1.58E+12,142742350
RUS,2012,165,Russia,1.65E+12,143201676
RUS,2016,183,Russia,1.66E+12,144342396
KSA,1960,0,Saudi Arabia,,4086539
KSA,1964,0,Saudi Arabia,,4677298
KSA,1968,0,Saudi Arabia,76790666667,5387828
KSA,1972,0,Saudi Arabia,1.91E+11,6392970
KSA,1976,0,Saudi Arabia,2.96E+11,7802926
KSA,1980,0,Saudi Arabia,3.56E+11,9691476
KSA,1984,0,Saudi Arabia,2.30E+11,12418834
KSA,1988,0,Saudi Arabia,2.56E+11,15070082
KSA,1992,0,Saudi Arabia,3.52E+11,17282691
KSA,1996,0,Saudi Arabia,3.59E+11,19033845
KSA,2000,2,Saudi Arabia,3.79E+11,20663843
KSA,2004,0,Saudi Arabia,4.37E+11,23132682
KSA,2008,0,Saudi Arabia,5.13E+11,25888541
KSA,2012,4,Saudi Arabia,6.12E+11,29155187
KSA,2016,0,Saudi Arabia,6.90E+11,32442572
RSA,1960,3,South Africa,79070958914,17099840
RSA,1992,3,South Africa,2.16E+11,38672607
RSA,1996,5,South Africa,2.43E+11,42241011
RSA,2000,5,South Africa,2.67E+11,44967708
RSA,2004,10,South Africa,3.06E+11,47291610
RSA,2008,1,South Africa,3.70E+11,49779471
RSA,2012,9,South Africa,3.96E+11,52834005
RSA,2016,23,South Africa,4.20E+11,56203654
KOR,1960,0,South Korea,23618995883,25012374
KOR,1964,3,South Korea,31330353675,27984155
KOR,1968,2,South Korea,46445386532,30838302
KOR,1972,1,South Korea,69257418077,33505406
KOR,1976,17,South Korea,1.06E+11,35848523
KOR,1980,0,South Korea,1.41E+11,38123775
KOR,1984,41,South Korea,2.05E+11,40405956
KOR,1988,77,South Korea,3.09E+11,42031247
KOR,1992,56,South Korea,4.25E+11,43747962
KOR,1996,75,South Korea,5.85E+11,45524681
KOR,2000,85,South Korea,7.10E+11,47008111
KOR,2004,59,South Korea,8.61E+11,48082519
KOR,2008,97,South Korea,1.02E+12,49054708
KOR,2012,79,South Korea,1.16E+12,50199853
KOR,2016,40,South Korea,1.31E+12,51217803
TUR,1960,9,Turkey,87225893758,27472345
TUR,1964,6,Turkey,1.07E+11,30244261
TUR,1968,2,Turkey,1.37E+11,33256464
TUR,1972,1,Turkey,1.67E+11,36587261
TUR,1976,0,Turkey,2.16E+11,40189567
TUR,1980,0,Turkey,2.19E+11,43975971
TUR,1984,3,Turkey,2.67E+11,48114155
TUR,1988,2,Turkey,3.33E+11,52053765
TUR,1992,6,Turkey,3.86E+11,55748948
TUR,1996,6,Turkey,4.59E+11,59423282
TUR,2000,5,Turkey,5.21E+11,63240194
TUR,2004,11,Turkey,6.04E+11,67010930
TUR,2008,7,Turkey,7.47E+11,70418604
TUR,2012,5,Turkey,8.99E+11,74653016
TUR,2016,8,Turkey,1.12E+12,79821724
GBR,1960,28,UK,7.30E+11,52400000
GBR,1964,30,UK,8.39E+11,54000000
GBR,1968,19,UK,9.43E+11,55211700
GBR,1972,29,UK,1.07E+12,56086065
GBR,1976,33,UK,1.12E+12,56211968
GBR,1980,48,UK,1.22E+12,56314216
GBR,1984,73,UK,1.31E+12,56422072
GBR,1988,54,UK,1.57E+12,56928327
GBR,1992,50,UK,1.61E+12,57580402
GBR,1996,29,UK,1.82E+12,58166950
GBR,2000,58,UK,2.10E+12,58892514
GBR,2004,63,UK,2.34E+12,59987905
GBR,2008,82,UK,2.54E+12,61806995
GBR,2012,127,UK,2.55E+12,63700215
GBR,2016,155,UK,2.79E+12,65611593
USA,1960,152,USA,3.17E+12,180671000
USA,1964,177,USA,3.80E+12,191889000
USA,1968,173,USA,4.63E+12,200706000
USA,1972,195,USA,5.17E+12,209896000
USA,1976,175,USA,5.72E+12,218035000
USA,1980,30,USA,6.50E+12,227225000
USA,1984,361,USA,7.34E+12,235825000
USA,1988,214,USA,8.52E+12,244499000
USA,1992,238,USA,9.31E+12,256514000
USA,1996,278,USA,1.06E+13,269394000
USA,2000,276,USA,1.26E+13,282162411
USA,2004,347,USA,1.38E+13,292805298
USA,2008,369,USA,1.50E+13,304093966
USA,2012,345,USA,1.56E+13,313830990
USA,2016,328,USA,1.70E+13,322941311
